"FORUM_BBS_NO","FORUM_CATEGORY_CODE","RGST_DATE","RGST_USER_NO","RGST_USER_ID","UPDT_DATE","UPDT_USER_NO","UPDT_USER_ID","DEL_YN"
97,TRNC_SCM_PURCH,2023-10-06 14:25:47.540,"07001861",kimkym,2023-10-06 14:25:47.540,"07001861",kimkym,N
98,TRNC_PROD,2023-10-06 16:48:47.090,FP503057,djlee92,2023-10-06 16:49:13.907,FP503057,djlee92,N
99,TRNC_ESG,2023-10-06 16:50:16.243,FP503057,djlee92,2023-10-06 16:50:16.243,FP503057,djlee92,N
100,TRNC_QLITY,2023-10-06 17:52:51.263,FP502896,yangkim_es,2023-10-06 17:52:51.263,FP502896,yangkim_es,N
101,TRNC_RND,2023-10-08 17:41:00.790,"10088643",zhaocaiyi,2023-10-08 17:41:00.790,"10088643",zhaocaiyi,N
102,TRNC_RND,2023-10-10 17:02:51.307,"00223134",jaeminjung,2023-10-10 17:02:51.307,"00223134",jaeminjung,N
103,TRNC_RND,2023-10-11 09:51:44.797,"00230358",lks0331,2023-10-11 09:51:44.797,"00230358",lks0331,N
104,TRNC_PROD,2023-10-11 12:59:22.893,"10114703",nazhaomin,2023-10-11 12:59:22.893,"10114703",nazhaomin,N
104,TRNC_QLITY,2023-10-11 12:59:22.893,"10114703",nazhaomin,2023-10-11 12:59:22.893,"10114703",nazhaomin,N
104,TRNC_RND,2023-10-11 12:59:22.893,"10114703",nazhaomin,2023-10-11 12:59:22.893,"10114703",nazhaomin,N
104,TRNC_TECH,2023-10-11 12:59:22.893,"10114703",nazhaomin,2023-10-11 12:59:22.893,"10114703",nazhaomin,N
105,TRNC_RND,2023-10-12 17:52:33.280,"00227989",ryukisun,2023-10-12 17:58:09.920,"00227989",ryukisun,N
106,TRNC_RND,2023-10-12 17:54:16.157,"00227989",ryukisun,2023-10-12 18:00:54.633,"00227989",ryukisun,N
107,TRNC_RND,2023-10-12 17:56:26.203,"00227989",ryukisun,2023-10-12 18:10:17.423,"00227989",ryukisun,N
108,TRNC_RND,2023-10-12 17:57:01.603,"00227989",ryukisun,2023-10-12 17:57:01.603,"00227989",ryukisun,N
109,TRNC_RND,2023-10-12 18:11:37.787,"00227989",ryukisun,2023-10-12 18:11:49.310,"00227989",ryukisun,N
110,TRNC_RND,2023-10-13 10:06:08.220,"00227989",ryukisun,2023-10-13 10:06:08.220,"00227989",ryukisun,N
111,TRNC_RND,2023-10-13 10:07:39.870,"00227989",ryukisun,2023-10-13 10:07:39.870,"00227989",ryukisun,N
112,TRNC_RND,2023-10-13 10:11:19.287,"00227989",ryukisun,2023-10-13 10:11:19.287,"00227989",ryukisun,N
113,TRNC_RND,2023-10-13 10:12:50.243,"00227989",ryukisun,2023-10-13 10:12:50.243,"00227989",ryukisun,N
114,TRNC_RND,2023-10-13 17:01:16.237,"07001523",sonbs9,2023-10-13 17:01:16.237,"07001523",sonbs9,N
115,TRNC_RND,2023-10-13 18:16:54.763,"00231059",mingyu.kim,2023-10-13 18:16:54.763,"00231059",mingyu.kim,N
115,TRNC_TECH,2023-10-13 18:16:54.763,"00231059",mingyu.kim,2023-10-13 18:16:54.763,"00231059",mingyu.kim,N
116,TRNC_RND,2023-10-16 12:24:16.780,"00201933",tootough,2023-10-16 12:24:16.780,"00201933",tootough,N
117,TRNC_RND,2023-10-16 18:47:54.850,FP503057,djlee92,2023-10-16 18:47:54.850,FP503057,djlee92,N
118,TRNC_QLITY,2023-10-17 09:37:36.737,"07004596",ghlee7476,2023-10-17 09:37:36.737,"07004596",ghlee7476,N
118,TRNC_RND,2023-10-17 09:37:36.737,"07004596",ghlee7476,2023-10-17 09:37:36.737,"07004596",ghlee7476,N
119,TRNC_QLITY,2023-10-17 14:40:44.013,"07003148",violet94,2023-10-17 14:40:44.013,"07003148",violet94,N
119,TRNC_RND,2023-10-17 14:40:44.013,"07003148",violet94,2023-10-17 14:40:44.013,"07003148",violet94,N
120,TRNC_PROD,2023-10-18 22:34:09.030,"07004879",mgseo,2023-10-18 22:34:09.030,"07004879",mgseo,N
120,TRNC_RND,2023-10-18 22:34:09.030,"07004879",mgseo,2023-10-18 22:34:09.030,"07004879",mgseo,N
120,TRNC_TECH,2023-10-18 22:34:09.030,"07004879",mgseo,2023-10-18 22:34:09.030,"07004879",mgseo,N
121,TRNC_RND,2023-10-19 14:16:56.997,"07004596",ghlee7476,2023-10-19 14:17:08.167,"07004596",ghlee7476,N
122,TRNC_RND,2023-10-19 17:33:26.827,FP503057,djlee92,2023-10-19 17:33:26.827,FP503057,djlee92,N
123,TRNC_PROD,2023-10-27 02:14:25.383,"10144464",jaeholee2,2023-10-27 02:14:25.383,"10144464",jaeholee2,N
123,TRNC_QLITY,2023-10-27 02:14:25.383,"10144464",jaeholee2,2023-10-27 02:14:25.383,"10144464",jaeholee2,N
